"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",100309,367.824630330387,158.411640777704,263.044696575875,2,2,2,4,4,2,2,4,1,2,1,1,5,6,3,2,3,4
"2",101170,360.552881232822,151.118529364719,255.923929813606,2,3,4,2,4,4,2,4,3,4,4,2,4,4,3,2,4,3
"3",102940,365.32279398041,121.693694873238,278.434525739835,2,2,2,2,2,1,1,2,2,1,1,1,6,4,3,3,4,4
"4",104494,370.037299884465,141.991036849002,247.842625353567,1,2,4,2,1,2,2,1,1,2,1,1,5,5,3,3,5,4
"5",105453,367.295723852498,107.889061478803,277.200228972035,2,1,1,3,2,4,1,1,2,1,2,3,5,6,3,3,3,5
"6",106172,357.643111273407,142.462348222809,240.413968048984,2,2,6,1,1,2,1,2,2,2,1,2,4,4,3,2,3,3
"7",107951,363.400173294418,151.897311985531,257.094187969319,1,1,1,1,1,2,1,1,2,1,1,2,4,4,3,3,3,5
"8",108799,362.04782570701,149.136578371185,271.910352266002,1,4,1,1,6,4,2,1,1,6,1,1,5,5,3,3,3,5
"9",109524,359.54981034024,139.794713717905,239.833964605751,2,2,2,2,2,2,1,2,2,2,2,1,4,4,3,3,4,4
"10",109564,352.427496793124,130.823520012381,287.413803104298,1,2,3,2,3,1,1,2,1,2,1,2,4,5,3,3,4,5
"11",110277,364.913529891015,126.600497433514,278.499165391868,1,1,2,2,2,4,2,1,2,1,2,1,4,5,2,2,5,4
"12",112031,354.420980480782,147.864076516127,244.619116989442,1,2,4,2,2,1,1,1,1,2,1,1,4,5,3,2,3,3
"13",115990,371.656510750816,132.382616021868,282.523633180987,2,1,2,2,3,2,2,2,1,2,1,1,5,5,3,2,3,3
"14",117492,362.550127625577,142.296338441593,291.213079807964,2,2,2,1,2,1,2,2,1,2,2,2,5,5,2,3,4,4
